"incident_id","created_at","customer_id","category","status","satisfaction_index","customer_email","contact_phone","notes"
"INC-0085","2026-06-02","CUST-1085","unknown","open","","customer85@example.com","+1-555-2085","invalid category"
"INC-0086","2026-06-03","CUST-1086","unknown","open","","customer86@example.com","+1-555-2086","invalid category"
"INC-0087","2026-06-04","CUST-1087","unknown","open","","customer87@example.com","+1-555-2087","invalid category"
"INC-0088","2026-06-05","CUST-1088","unknown","open","","customer88@example.com","+1-555-2088","invalid category"
"INC-0089","2026-06-06","CUST-1089","unknown","open","","customer89@example.com","+1-555-2089","invalid category"
"INC-0090","2026-06-07","CUST-1090","unknown","open","","customer90@example.com","+1-555-2090","invalid category"
"INC-0091","2026-06-08","CUST-1091","complaint","waiting","","customer91@example.com","+1-555-2091","invalid status"
"INC-0092","2026-06-09","CUST-1092","complaint","waiting","","customer92@example.com","+1-555-2092","invalid status"
"INC-0093","2026-06-10","CUST-1093","complaint","waiting","","customer93@example.com","+1-555-2093","invalid status"
"INC-0094","2026-06-11","CUST-1094","complaint","waiting","","customer94@example.com","+1-555-2094","invalid status"
"INC-0095","2026-06-12","CUST-1095","complaint","waiting","","customer95@example.com","+1-555-2095","invalid status"
"INC-0096","2026-06-13","CUST-1096","request","closed","8","customer96@example.com","+1-555-2096","out of range satisfaction"
"INC-0097","2026-06-14","CUST-1097","request","closed","8","customer97@example.com","+1-555-2097","out of range satisfaction"
"INC-0098","2026-06-15","CUST-1098","request","closed","8","customer98@example.com","+1-555-2098","out of range satisfaction"
"INC-0099","2026-06-16","CUST-1099","","open","","customer99@example.com","+1-555-2099","missing category"
"INC-0100","2026-06-17","CUST-1100","","open","","customer100@example.com","+1-555-2100","missing category"
